counterparty,mode,amount,hour,day_of_week,freq_per_week,avg_amount_counterparty,transaction_count_counterparty,days_since_last_transaction,category
Kumar Cafe,UPI,283.17,13,Wednesday,5,838.58,11,7,Food
Local Pharmacy,CARD,290.32,18,Saturday,1,269.82,6,3,Miscellaneous
Suresh,UPI,624.6,14,Wednesday,1,543.78,31,3,Food
Reliance Smart,UPI,293.13,18,Tuesday,1,371.39,11,6,Groceries
Water Board,UPI,326.23,10,Monday,1,388.68,6,9,Miscellaneous
Travel Agency,NETBANKING,3990.88,20,Tuesday,1,3674.16,2,4,Miscellaneous
Metro Cab,CASH,1280.33,20,Thursday,5,1718.36,7,2,Transport
Kumar Enterprises,UPI,2737.27,18,Sunday,3,4197.82,9,19,Miscellaneous
Maa Grocery,UPI,3443.4,19,Sunday,2,4620.17,9,1,Groceries
Sai Restaurant,UPI,196.92,22,Wednesday,2,177.31,5,3,Food
Kumar Enterprises,CARD,805.1,10,Thursday,4,579.36,9,1,Miscellaneous
Rakesh,CARD,230.9,13,Saturday,6,175.85,31,3,Food
Local Mart,UPI,197.89,21,Thursday,4,306.72,8,1,Groceries
Local Cafe,UPI,380.55,13,Wednesday,6,307.01,21,2,Food
Uber,CARD,1519.1,20,Monday,3,955.61,16,1,Transport
Annapurna,UPI,105.63,13,Wednesday,1,83.52,7,3,Food
Power Services,UPI,1517.16,11,Thursday,1,3523.32,13,11,Miscellaneous
Fresh Basket,CASH,1277.56,11,Monday,1,858.19,19,1,Groceries
Jio,UPI,3569.58,14,Friday,1,2896.48,7,7,Miscellaneous
Internet Services,UPI,427.63,17,Sunday,3,523.71,10,1,Miscellaneous
Auto Driver,UPI,186.04,18,Monday,3,218.96,7,0,Transport
Local Cafe,UPI,387.78,12,Thursday,5,241.24,8,0,Food
Reliance Smart,CARD,1590.31,12,Monday,2,2793.52,7,0,Groceries
City Hospital,CARD,170.2,8,Sunday,1,132.32,3,36,Miscellaneous
Suresh,UPI,166.43,12,Sunday,2,206.44,5,0,Food
Priya Foods,UPI,91.15,13,Thursday,3,106.27,15,2,Food
Cab Service,CARD,200.89,18,Tuesday,3,259.89,6,4,Transport
Uber,UPI,183.68,8,Monday,7,278.27,14,10,Transport
Clinic,CARD,223.35,13,Sunday,1,117.42,5,1,Miscellaneous
Local Store,CARD,1246.86,14,Monday,2,1289.38,5,33,Miscellaneous
Local Store,CARD,2618.91,14,Monday,1,2401.5,5,4,Miscellaneous
Myntra,CARD,9001.1,10,Wednesday,1,8604.66,3,14,Miscellaneous
General Store,UPI,1587.2,21,Wednesday,2,1988.84,4,18,Miscellaneous
